Initial max|⟨B·n⟩ᵢ|: 0.05797042474689112
J=6.0e-02, Jf=2.0e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.8, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.49, C-S-Sep=1.59, ║∇J║=2.2e+01
J=2.2e-02, Jf=2.2e-02, ⟨B·n⟩=1.5e-02, Len=sum([15.7, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.51, C-S-Sep=1.59, ║∇J║=2.7e-02
J=3.0e-02, Jf=2.0e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.8, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.49, C-S-Sep=1.59, ║∇J║=1.1e+01
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=2.3e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.8, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=5.2e+00
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.5e+00
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=1.1e+02, Jf=8.2e-03, ⟨B·n⟩=8.1e-03, Len=sum([15.7, 15.0, 14.8])=45.4, ϰ=[1.0, 0.5, 0.5], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.08, C-S-Sep=0.45, ║∇J║=1.4e+03
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=5.2e+01, Jf=1.5e-03, ⟨B·n⟩=4.0e-03, Len=sum([15.4, 15.2, 15.0])=45.6, ϰ=[0.8, 0.5, 0.5], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.28, C-S-Sep=0.98, ║∇J║=1.3e+03
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=2.2e+01, Jf=5.2e-03, ⟨B·n⟩=7.3e-03, Len=sum([15.3, 15.3, 15.2])=45.9, ϰ=[0.6, 0.5, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.31, C-S-Sep=1.30, ║∇J║=9.5e+02
J=2.1e-02, Jf=2.1e-02, ⟨B·n⟩=1.4e-02, Len=sum([15.6, 15.6, 15.6])=46.9, ϰ=[0.4, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.50, C-S-Sep=1.59, ║∇J║=2.6e-02
J=9.7e+00, Jf=9.6e-03, ⟨B·n⟩=9.8e-03, Len=sum([15.4, 15.4, 15.4])=46.2, ϰ=[0.5, 0.4, 0.4], ∫ϰ²/L=[0.2, 0.2, 0.2], C-C-Sep=0.36, C-S-Sep=1.46, ║∇J║=5.8e+02
