Initial max|⟨B·n⟩ᵢ|: 0.2644252752006932
J=2.1e+00, Jf=7.9e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.3, 15.4, 13.3])=42.0, ϰ=[0.8, 0.5, 0.9], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.48, C-S-Sep=0.07, ║∇J║=2.8e+01
J=2.0e+00, Jf=7.9e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.3, 15.4, 13.3])=42.0, ϰ=[0.8, 0.5, 0.9], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=2.7e+01
J=2.0e+00, Jf=7.9e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.3, 15.4, 13.3])=42.0, ϰ=[0.8, 0.5, 0.9], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=2.2e+01
J=1.9e+00, Jf=7.9e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.3, 15.4, 13.3])=42.0, ϰ=[0.8, 0.5, 0.9], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=5.3e+01
J=1.8e+00, Jf=7.9e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.3, 15.4, 13.3])=42.0, ϰ=[0.8, 0.5, 0.9], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=6.7e+01
J=4.1e+00, Jf=8.4e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.5, 15.4, 13.4])=42.2, ϰ=[0.7, 0.5, 1.0], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.43, C-S-Sep=0.06, ║∇J║=2.8e+02
J=1.6e+00, Jf=8.0e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.3, 15.4, 13.3])=42.0, ϰ=[0.8, 0.5, 0.9], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=6.1e+01
J=2.8e+00, Jf=8.1e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.4, 15.4, 13.3])=42.2, ϰ=[0.7, 0.5, 1.0], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.45, C-S-Sep=0.07, ║∇J║=2.0e+02
J=1.5e+00, Jf=8.0e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.3, 15.4, 13.3])=42.1, ϰ=[0.8, 0.5, 0.9], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=5.7e+01
J=1.4e+00, Jf=8.1e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.4, 15.4, 13.3])=42.1, ϰ=[0.7, 0.5, 0.9], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=9.0e+00
J=1.4e+00, Jf=8.1e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.4, 15.4, 13.3])=42.1, ϰ=[0.7, 0.5, 0.9], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=7.9e+00
J=1.4e+00, Jf=8.1e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.4, 15.4, 13.3])=42.1, ϰ=[0.7, 0.5, 1.0], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=5.1e+00
J=1.4e+00, Jf=8.1e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.4, 15.4, 13.3])=42.1, ϰ=[0.7, 0.5, 1.0], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=4.8e+00
J=1.4e+00, Jf=8.0e-01, ⟨B·n⟩=1.1e-01, Len=sum([13.4, 15.4, 13.3])=42.1, ϰ=[0.7, 0.5, 1.0], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=1.3e+01
J=1.3e+00, Jf=7.9e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.4, 15.4, 13.3])=42.1, ϰ=[0.7, 0.5, 1.0], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.07, ║∇J║=1.0e+01
J=1.3e+00, Jf=7.4e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.4, 15.4, 13.3])=42.1, ϰ=[0.7, 0.5, 1.0], ∫ϰ²/L=[0.2, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.08, ║∇J║=1.1e+01
J=1.2e+00, Jf=6.9e-01, ⟨B·n⟩=1.0e-01, Len=sum([13.4, 15.4, 13.2])=42.0, ϰ=[0.8, 0.5, 1.0], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.11, ║∇J║=2.7e+00
J=1.2e+00, Jf=6.4e-01, ⟨B·n⟩=9.6e-02, Len=sum([13.4, 15.4, 13.2])=41.9, ϰ=[0.8, 0.5, 1.1], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.49, C-S-Sep=0.07, ║∇J║=1.5e+01
J=1.1e+00, Jf=6.3e-01, ⟨B·n⟩=9.6e-02, Len=sum([13.4, 15.4, 13.2])=41.9, ϰ=[0.8, 0.5, 1.1], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.08, ║∇J║=3.7e+00
J=1.1e+00, Jf=6.5e-01, ⟨B·n⟩=9.7e-02, Len=sum([13.4, 15.4, 13.2])=41.9, ϰ=[0.8, 0.5, 1.1], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.09, ║∇J║=2.4e+00
J=1.1e+00, Jf=6.5e-01, ⟨B·n⟩=9.7e-02, Len=sum([13.4, 15.4, 13.2])=41.9, ϰ=[0.8, 0.5, 1.1], ∫ϰ²/L=[0.3, 0.2, 0.3], C-C-Sep=0.50, C-S-Sep=0.08, ║∇J║=2.5e+00
